File name: 20-10-15
Result: 12
Gen 1:[3, 5, 6, 5, 3, 6, 3, 3, 3, 4, 5, 7, 3, 0, 7, 3, 5, 7, 5, 7, 5011]
Gen 2:[3, 6, 4, 4, 3, 6, 6, 2, 2, 6, 7, 7, 4, 2, 2, 2, 7, 7, 5, 7, 4010]
Gen 3:[3, 6, 3, 4, 6, 3, 4, 2, 2, 6, 4, 6, 6, 2, 2, 4, 6, 9, 6, 4, 3011]
Gen 4:[6, 5, 7, 5, 6, 3, 6, 4, 3, 7, 6, 6, 4, 3, 5, 3, 5, 7, 6, 7, 3011]
Gen 5:[6, 5, 7, 5, 6, 3, 6, 4, 3, 7, 6, 6, 5, 3, 5, 3, 5, 7, 6, 7, 2012]
Gen 6:[3, 5, 6, 5, 3, 6, 3, 3, 3, 4, 5, 7, 5, 3, 7, 3, 5, 7, 5, 7, 2012]
Gen 7:[3, 5, 6, 5, 3, 6, 3, 3, 3, 4, 5, 7, 5, 3, 7, 3, 7, 8, 5, 7, 2010]
Gen 8:[3, 5, 6, 5, 3, 6, 3, 3, 3, 4, 5, 7, 5, 3, 7, 3, 7, 8, 5, 7, 2010]
Gen 9:[6, 3, 7, 5, 7, 6, 5, 3, 3, 3, 6, 6, 7, 3, 5, 3, 5, 7, 6, 6, 1013]
Gen 10:[3, 3, 5, 5, 6, 3, 6, 4, 3, 6, 6, 5, 4, 3, 4, 4, 6, 9, 6, 4, 1011]
Gen 11:[3, 5, 6, 5, 3, 6, 3, 3, 3, 7, 5, 7, 5, 3, 7, 3, 5, 7, 5, 7, 12]
