File name: 20-20-30
Result: 23
Gen 1:[2, 5, 5, 3, 4, 4, 3, 4, 3, 1, 7, 2, 2, 2, 5, 6, 5, 5, 4, 4, 3022]
Gen 2:[2, 5, 5, 3, 4, 4, 3, 4, 3, 1, 7, 2, 2, 2, 5, 6, 5, 5, 4, 4, 3022]
Gen 3:[2, 5, 5, 3, 4, 4, 3, 4, 3, 1, 7, 2, 2, 2, 5, 6, 5, 5, 4, 4, 3022]
Gen 4:[2, 5, 5, 3, 4, 4, 3, 4, 3, 1, 3, 5, 2, 2, 5, 6, 5, 5, 4, 4, 2023]
Gen 5:[3, 5, 5, 3, 3, 4, 4, 5, 4, 2, 5, 2, 2, 2, 2, 6, 5, 5, 2, 4, 1024]
Gen 6:[3, 5, 5, 3, 3, 4, 4, 5, 4, 2, 5, 2, 2, 2, 2, 6, 5, 5, 2, 4, 1024]
Gen 7:[2, 5, 5, 3, 3, 4, 4, 5, 2, 2, 5, 2, 3, 2, 4, 6, 5, 5, 2, 4, 1023]
Gen 8:[2, 5, 5, 5, 3, 4, 2, 5, 4, 3, 8, 2, 3, 2, 3, 3, 4, 5, 3, 4, 1023]
Gen 9:[2, 5, 5, 3, 3, 4, 4, 4, 3, 2, 3, 2, 2, 2, 5, 6, 5, 5, 3, 4, 1022]
Gen 10:[3, 5, 5, 3, 3, 4, 4, 5, 2, 2, 3, 3, 2, 2, 5, 6, 5, 5, 2, 4, 1022]
Gen 11:[4, 5, 5, 3, 4, 4, 3, 5, 2, 2, 3, 5, 2, 2, 5, 3, 5, 5, 2, 4, 23]
