90 3152
0 1 15.775270101896494
0 4 40.3305152143077
0 5 60.58350090684674
0 8 49.78222655455536
0 10 65.84123782484701
0 11 63.15990713571209
0 13 99.06773746667359
0 14 25.491760202685445
0 15 48.74927793091708
0 16 88.57530283306792
0 17 62.25919109703174
0 19 64.87398372553729
0 20 78.10781963568542
0 21 46.402821564930505
0 23 7.961328120346203
0 24 23.617408398554897
0 25 20.74187404444092
0 26 63.68407105627677
0 27 74.2931546235949
0 28 41.3151288206714
0 29 89.0936275508598
0 30 85.99838557446955
0 31 85.03275248285377
0 32 22.861197722159897
0 33 43.837155151153304
0 34 87.26297053998648
0 35 69.30519402211692
0 36 94.37740415461666
0 38 58.797988909209586
0 39 28.996926341526766
0 41 35.79617727888916
0 46 40.94919326330067
0 49 62.44905872692166
0 50 23.748905416702883
0 53 79.53797661072494
0 55 70.4556379161096
0 56 73.40103319549999
0 57 92.81311781748174
0 58 21.926987803562746
0 59 22.43349955552861
0 60 34.48470254377622
0 61 64.89716039528282
0 63 72.8865034066758
0 66 8.560232881431945
0 67 18.707971106436155
0 70 63.89001330808001
0 71 28.138983687818037
0 72 60.969464593917806
0 73 86.94939786067208
0 75 27.508438696636567
0 78 28.45521457370462
0 79 67.53107143724066
0 80 17.673633650929304
0 81 65.08552526459694
0 84 56.521311265302394
0 85 27.412396200910415
0 87 85.27654487800766
0 88 29.231413665251004
1 4 25.918223106842895
1 5 43.29582840313018
1 6 78.7414980329306
1 7 65.47590847808405
1 10 96.96439224639043
1 11 11.179533263169144
1 14 49.87988930134233
1 16 6.295313490249071
1 18 47.420442576559964
1 19 56.58653402653762
1 21 18.426474609459632
1 22 12.112194175516153
1 23 46.86987070211846
1 24 32.78816656894409
1 25 42.36535783860442
1 26 50.55351389300251
1 28 78.96779942095725
1 30 72.38148676878689
1 32 76.82423007003324
1 33 92.7176169858961
1 37 59.57875439574964
1 38 85.13766286969278
1 40 72.19630366432915
1 41 97.83496694086958
1 43 76.73369461557284
1 44 90.83754545965382
1 45 2.4838540845128803
1 46 67.7824599108003
1 47 34.49357405227008
1 48 63.967507143896334
1 51 83.54762555638183
1 52 15.495628682654083
1 53 20.28406910568376
1 54 44.65557910992195
1 55 61.1201236332979
1 56 29.03077983539832
1 58 56.60982297758405
1 59 24.934152985234352
1 60 79.48063186425878
1 62 24.879895631508884
1 63 36.35597604419142
