70 1902
0 2 37.53674955736339
0 4 59.868874368449966
0 5 45.12043220147126
0 6 45.67427823247884
0 7 55.44643272372781
0 9 48.69324831249902
0 12 64.14015964978638
0 13 19.82800063262126
0 14 51.68917075295358
0 15 21.699472038937763
0 16 67.55987597495955
0 17 17.828753264604824
0 18 41.50677596837419
0 19 67.3235011809027
0 21 58.96103840416497
0 28 11.22745920114498
0 29 63.763548839520226
0 31 39.00504584592404
0 34 9.05116017301045
0 35 45.16475023479745
0 36 87.0535704901824
0 38 91.06089091588433
0 39 96.94133301637439
0 40 27.516275794076357
0 41 92.80387694355518
0 42 94.58291282439221
0 43 68.61270043933166
0 45 99.26522262068666
0 46 83.12482764344838
0 47 20.269791906367193
0 51 98.19245227323887
0 52 18.68762101187911
0 54 13.877623403487343
0 55 51.51127124549203
0 57 13.545038591517487
0 59 52.41180608185778
0 61 7.411609951004408
0 62 57.48815816760639
0 64 27.877925679555805
0 66 96.3006909829561
0 67 52.87012600238416
1 2 54.64047078949738
1 5 55.28224298584329
1 6 15.868629587802134
1 7 14.8420143765168
1 8 76.6003009773875
1 10 43.23978276786971
1 11 55.078725259076855
1 12 54.796285728958075
1 14 63.48047796658696
1 16 3.465828037583725
1 17 31.554656289037084
1 18 99.43882004705978
1 19 81.3430410592631
1 20 25.668529191770983
1 22 91.84809693034069
1 23 91.66159750984816
1 26 12.799736476912441
1 29 92.68821369527555
1 31 88.52688276203857
1 32 89.5528832105706
1 33 79.51948774682467
1 34 65.95320418996022
1 35 83.75409826637271
1 36 24.0260455212913
1 37 74.10112095135108
1 39 50.69447008013767
1 40 67.51314074186722
1 42 53.93223854641868
1 46 30.175212747749985
1 47 72.61192980329906
1 48 61.36641667034452
1 49 54.71660711955208
1 52 69.99795302628232
1 53 84.95711196473205
1 55 51.676755373678766
1 56 63.30028537742836
1 58 56.34413380304704
1 59 71.02488610795848
1 60 100.03833983015075
1 61 33.71541122159323
1 62 38.196032593146576
1 63 21.320452658059732
1 65 9.253685485814575
1 66 59.66921366979207
1 68 89.17364111491405
1 69 82.6813445160574
2 5 11.347455073024385
2 7 24.039663791471472
2 8 90.15552932992
2 9 64.92548839406439
2 11 21.195729465224495
2 13 11.970463445090862
2 14 95.73456031518359
2 15 62.29920683852097
2 16 35.79411870981307
2 18 1.0038795685948472
2 23 78.82937242416004
2 24 37.91838478559794
2 26 45.35898055627532
2 28 94.19586896066929
2 29 7.536394963307597
2 30 19.663026046261233
2 31 91.23498107899911
2 32 52.38873136888557
2 34 7.551861072824082
2 35 28.472534013719653
2 36 1.5391615720744978
2 37 44.572196792205304
2 38 4.221925664601479
2 41 58.26373768304741
2 44 7.223421616129698
2 49 78.34088635272607
2 51 40.01031451260213
2 52 75.94251081524023
2 53 67.8070872318579
2 54 67.74299277359925
2 56 5.496631241385806
2 57 92.56077083788739
2 58 90.22791271906878
2 59 19.52498167647932
2 60 1.6902246685591753
2 61 36.47124682144205
2 65 69.89535978544647
2 67 49.11906796708125
2 68 97.81064398337635
2 69 83.95402822982555
