Name: 600-30-45
Gen0: 65039 65039
Gen1: 56047 56047
Gen2: 48047 48047
Gen3: 41047 41047
Gen4: 38047 38047
Gen5: 35047 35047
Gen6: 32050 32050
Gen7: 29050 29050
Gen8: 27050 27050
Gen9: 25050 25050
Gen10: 23051 23051
Gen11: 21052 21052
Gen12: 20052 20052
Gen13: 19052 19052
Gen14: 18052 18052
Gen15: 17052 17052
Gen16: 16052 16052
Gen17: 15052 15052
Gen18: 15052 15052
Gen19: 15052 15052
Gen20: 15052 15052
Gen21: 15052 15052
Gen22: 15052 15052
Gen23: 14052 14052
Gen24: 14052 14052
Gen25: 14052 14052
Gen26: 14052 14052
Gen27: 14052 14052
Gen28: 14052 14052
Gen29: 14052 14052
Gen30: 14052 14052
Gen31: 14052 14052
Gen32: 14052 14052
Gen33: 44056 14052
Gen34: 36056 14052
Gen35: 33056 14052
Gen36: 30059 14052
Gen37: 28059 14052
Gen38: 27051 14052
Gen39: 26051 14052
Gen40: 25051 14052
Gen41: 24052 14052
Gen42: 23053 14052
Gen43: 23052 14052
Gen44: 23050 14052
Gen45: 23050 14052
Gen46: 23050 14052
Gen47: 23050 14052
Gen48: 23050 14052
Gen49: 23050 14052
Gen50: 23050 14052
Gen51: 23050 14052
Gen52: 23050 14052
Gen53: 23050 14052
Gen54: 59045 14052
Gen55: 51053 14052
Gen56: 46053 14052
Gen57: 42046 14052
Gen58: 38043 14052
Gen59: 34043 14052
Gen60: 30043 14052
Gen61: 26047 14052
Gen62: 23047 14052
Gen63: 21047 14052
Gen64: 19047 14052
Gen65: 17049 14052
Gen66: 16048 14052
Gen67: 15049 14052
Gen68: 15049 14052
Gen69: 15049 14052
Gen70: 15049 14052
Gen71: 15049 14052
Gen72: 15049 14052
Gen73: 15049 14052
Gen74: 12049 12049
Gen75: 11049 11049
Gen76: 11049 11049
Gen77: 11049 11049
Gen78: 11049 11049
Gen79: 11049 11049
Gen80: 11049 11049
Gen81: 11049 11049
Gen82: 11049 11049
Gen83: 11049 11049
Gen84: 11049 11049
Gen85: 38042 11049
Gen86: 32045 11049
Gen87: 29045 11049
Gen88: 26045 11049
Gen89: 23048 11049
Gen90: 21047 11049
Gen91: 19047 11049
Gen92: 17049 11049
Gen93: 15051 11049
Gen94: 14048 11049
Gen95: 13048 11049
Gen96: 12048 11049
Gen97: 11048 11048
Gen98: 10049 10049
Gen99: 10049 10049
Gen100: 10049 10049
Gen101: 10049 10049
Gen102: 10049 10049
Gen103: 10049 10049
Gen104: 10049 10049
Gen105: 10049 10049
Gen106: 10049 10049
Gen107: 10049 10049
Gen108: 40044 10049
Gen109: 26051 10049
Gen110: 20054 10049
Gen111: 16054 10049
Gen112: 14049 10049
Gen113: 12049 10049
Gen114: 10049 10049
Gen115: 9049 9049
Gen116: 9048 9048
Gen117: 9048 9048
Gen118: 9048 9048
Gen119: 9048 9048
Gen120: 9048 9048
Gen121: 9048 9048
Gen122: 9048 9048
Gen123: 9048 9048
Gen124: 9048 9048
Gen125: 9048 9048
Gen126: 54045 9048
Gen127: 49045 9048
Gen128: 44050 9048
Gen129: 40050 9048
Gen130: 36052 9048
Gen131: 32054 9048
Gen132: 29047 9048
Gen133: 27046 9048
Gen134: 25046 9048
Gen135: 23046 9048
Gen136: 21048 9048
Gen137: 20048 9048
Gen138: 19048 9048
Gen139: 17048 9048
Gen140: 15049 9048
Gen141: 14049 9048
Gen142: 14048 9048
Gen143: 14048 9048
Gen144: 14048 9048
Gen145: 14048 9048
Gen146: 14048 9048
Gen147: 14048 9048
Gen148: 14048 9048
Gen149: 14048 9048
Gen150: 14048 9048
Gen151: 14048 9048
Gen152: 27035 9048
Gen153: 23039 9048
Gen154: 20042 9048
Gen155: 18042 9048
Gen156: 16044 9048
Gen157: 14046 9048
Gen158: 12048 9048
Gen159: 11048 9048
Gen160: 10049 9048
Gen161: 10049 9048
Gen162: 10049 9048
Gen163: 10049 9048
Gen164: 10049 9048
Gen165: 10049 9048
Gen166: 10049 9048
Gen167: 10049 9048
Gen168: 10049 9048
Gen169: 10049 9048
Gen170: 34046 9048
Gen171: 26046 9048
Gen172: 20046 9048
Gen173: 17046 9048
Gen174: 15046 9048
Gen175: 13046 9048
Gen176: 11047 9048
Gen177: 10047 9048
Gen178: 9047 9047
Gen179: 8047 8047
Gen180: 7048 7048
Gen181: 6048 6048
Gen182: 6048 6048
Gen183: 6048 6048
Gen184: 6048 6048
Gen185: 6048 6048
Gen186: 6048 6048
Gen187: 6048 6048
Gen188: 6048 6048
Gen189: 6048 6048
Gen190: 6048 6048
Gen191: 56039 6048
Gen192: 49038 6048
Gen193: 42038 6048
Gen194: 36042 6048
Gen195: 32044 6048
Gen196: 28048 6048
Gen197: 25048 6048
Gen198: 22051 6048
Gen199: 20051 6048
Gen200: 18051 6048
Gen201: 16053 6048
Gen202: 15049 6048
Gen203: 14050 6048
Gen204: 14050 6048
Gen205: 14050 6048
Gen206: 14050 6048
Gen207: 14050 6048
Gen208: 14050 6048
Gen209: 14050 6048
Gen210: 14050 6048
Gen211: 14050 6048
Gen212: 14050 6048
Gen213: 53049 6048
Gen214: 46049 6048
Gen215: 39049 6048
Gen216: 33049 6048
Gen217: 27052 6048
Gen218: 23052 6048
Gen219: 20054 6048
Gen220: 18055 6048
Gen221: 17051 6048
Gen222: 16051 6048
Gen223: 15051 6048
Gen224: 14051 6048
Gen225: 13051 6048
Gen226: 13051 6048
Gen227: 13051 6048
Gen228: 13051 6048
Gen229: 13051 6048
Gen230: 12051 6048
Gen231: 12051 6048
Gen232: 12051 6048
Gen233: 12051 6048
Gen234: 12051 6048
Gen235: 12051 6048
Gen236: 12051 6048
Gen237: 12051 6048
Gen238: 12051 6048
Gen239: 12051 6048
Gen240: 39048 6048
Gen241: 29048 6048
Gen242: 21049 6048
Gen243: 17051 6048
Gen244: 15049 6048
Gen245: 13047 6048
Gen246: 11047 6048
Gen247: 10047 6048
Gen248: 9047 6048
Gen249: 8048 6048
Gen250: 7048 6048
Gen251: 7048 6048
Gen252: 7048 6048
Gen253: 7048 6048
Gen254: 7048 6048
Gen255: 7048 6048
Gen256: 7048 6048
Gen257: 7048 6048
Gen258: 7048 6048
Gen259: 7048 6048
Gen260: 41041 6048
Gen261: 35041 6048
Gen262: 29045 6048
Gen263: 24045 6048
Gen264: 20047 6048
Gen265: 17050 6048
Gen266: 15050 6048
Gen267: 14049 6048
Gen268: 12047 6048
Gen269: 9046 6048
Gen270: 8046 6048
Gen271: 7046 6048
Gen272: 6047 6047
Gen273: 6047 6047
Gen274: 6047 6047
Gen275: 6047 6047
Gen276: 6047 6047
Gen277: 6047 6047
Gen278: 6047 6047
Gen279: 6047 6047
Gen280: 6047 6047
Gen281: 6047 6047
Gen282: 38050 6047
Gen283: 28050 6047
Gen284: 23050 6047
Gen285: 19050 6047
Gen286: 17050 6047
Gen287: 15050 6047
Gen288: 14050 6047
Gen289: 12050 6047
Gen290: 11050 6047
Gen291: 11048 6047
Gen292: 11048 6047
Gen293: 11048 6047
Gen294: 11048 6047
Gen295: 11048 6047
Gen296: 11048 6047
Gen297: 11048 6047
Gen298: 11048 6047
Gen299: 11048 6047
Gen300: 11048 6047
