Name: 200-50-80
Gen0: 10068 10068
Gen1: 4068 4068
Gen2: 68 68
Gen3: 68 68
Gen4: 68 68
Gen5: 68 68
Gen6: 68 68
Gen7: 68 68
Gen8: 68 68
Gen9: 68 68
Gen10: 68 68
Gen11: 68 68
Gen12: 63070 68
Gen13: 26070 68
Gen14: 17070 68
Gen15: 9070 68
Gen16: 4070 68
Gen17: 70 68
Gen18: 69 68
Gen19: 69 68
Gen20: 69 68
Gen21: 69 68
Gen22: 69 68
Gen23: 69 68
Gen24: 69 68
Gen25: 69 68
Gen26: 69 68
Gen27: 69 68
Gen28: 25068 68
Gen29: 10068 68
Gen30: 4068 68
Gen31: 68 68
Gen32: 68 68
Gen33: 68 68
Gen34: 68 68
Gen35: 68 68
Gen36: 68 68
Gen37: 68 68
Gen38: 68 68
Gen39: 68 68
Gen40: 68 68
Gen41: 19068 68
Gen42: 13068 68
Gen43: 9068 68
Gen44: 8068 68
Gen45: 7068 68
Gen46: 7068 68
Gen47: 7068 68
Gen48: 7068 68
Gen49: 7068 68
Gen50: 7068 68
Gen51: 7068 68
Gen52: 7068 68
Gen53: 7068 68
Gen54: 7068 68
Gen55: 29066 68
Gen56: 12066 68
Gen57: 66 66
Gen58: 66 66
Gen59: 66 66
Gen60: 66 66
Gen61: 66 66
Gen62: 66 66
Gen63: 66 66
Gen64: 66 66
Gen65: 66 66
Gen66: 66 66
Gen67: 32065 66
Gen68: 22065 66
Gen69: 15065 66
Gen70: 8068 66
Gen71: 3068 66
Gen72: 1068 66
Gen73: 68 66
Gen74: 68 66
Gen75: 67 66
Gen76: 67 66
Gen77: 67 66
Gen78: 67 66
Gen79: 66 66
Gen80: 66 66
Gen81: 66 66
Gen82: 66 66
Gen83: 66 66
Gen84: 66 66
Gen85: 66 66
Gen86: 66 66
Gen87: 66 66
Gen88: 66 66
Gen89: 22070 66
Gen90: 13070 66
Gen91: 7070 66
Gen92: 3070 66
Gen93: 70 66
Gen94: 70 66
Gen95: 70 66
Gen96: 70 66
Gen97: 70 66
Gen98: 70 66
Gen99: 70 66
Gen100: 70 66
Gen101: 70 66
Gen102: 70 66
Gen103: 73073 66
Gen104: 40073 66
Gen105: 28073 66
Gen106: 19073 66
Gen107: 10073 66
Gen108: 3073 66
Gen109: 1073 66
Gen110: 73 66
Gen111: 70 66
Gen112: 69 66
Gen113: 69 66
Gen114: 69 66
Gen115: 69 66
Gen116: 69 66
Gen117: 69 66
Gen118: 69 66
Gen119: 69 66
Gen120: 68 66
Gen121: 68 66
Gen122: 68 66
Gen123: 68 66
Gen124: 68 66
Gen125: 68 66
Gen126: 68 66
Gen127: 68 66
Gen128: 68 66
Gen129: 68 66
Gen130: 67 66
Gen131: 67 66
Gen132: 67 66
Gen133: 67 66
Gen134: 67 66
Gen135: 67 66
Gen136: 67 66
Gen137: 67 66
Gen138: 67 66
Gen139: 67 66
Gen140: 6067 66
Gen141: 5067 66
Gen142: 5067 66
Gen143: 5067 66
Gen144: 5067 66
Gen145: 5067 66
Gen146: 5067 66
Gen147: 5067 66
Gen148: 5067 66
Gen149: 5067 66
Gen150: 5067 66
